City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Perbaungan,ID,80.17,light rain,3.5679,98.956,Bendang Lama
515,Tanout,NE,79.54,broken clouds,14.9709,8.8879,
517,Iralaya,HN,80.11,overcast clouds,15.0,-83.2333,Iglesia morava renovada
519,Matamoros,MX,77.86,broken clouds,25.5333,-103.25,Quinta Belem
520,Kinablangan,PH,75.13,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
521,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
525,Beshpagir,RU,76.42,scattered clouds,45.0217,42.3808,
528,Pachora,IN,84.34,broken clouds,20.6667,75.35,Vishal Avinash patil
530,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
533,Riyadh,SA,89.74,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
535,Madang,PG,81.03,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
538,Lawton,US,76.91,overcast clouds,34.6087,-98.3903,Holiday Inn Express & Suites Lawton-Fort Sill
539,Yatou,CN,80.42,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
542,Beirut,LB,77.74,few clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
547,Abu Kamal,SY,88.86,clear sky,34.4506,40.9171,البوكمال
548,Sohagpur,IN,81.07,scattered clouds,22.7,78.2,Hotel Vatika Inn- A unit of Hotel Ramayan
551,Metro,ID,83.57,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
553,Kieta,PG,82.8,light rain,-6.2167,155.6333,Uruna Bay Retreat
555,Bartica,GY,75.52,clear sky,6.4,-58.6167,Sloth Island Nature Resort
557,Pryozerne,UA,79.79,few clouds,45.2698,36.3303,
559,Sinolon,PH,75.78,overcast clouds,6.2439,124.8144,Teodoro’s Farm
564,Parrita,CR,78.08,broken clouds,9.5201,-84.3225,Beso del Viento
565,Bac Lieu,VN,88.03,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
566,Champerico,GT,76.3,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
567,West Bay,KY,84.0,overcast clouds,19.3667,-81.4167,Calypso Cove
569,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
570,Ginda,IN,75.04,broken clouds,30.6945,78.4932,Bhandari hi tech plant nursary.
577,Badhni Kalan,IN,87.94,clear sky,30.6833,75.2833,Dana patti Dharamshala
579,Xichang,CN,82.6,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
585,Ugoofaaru,MV,80.78,broken clouds,5.6667,73.0,Ungoofaaru Inn
586,Jacareacanga,BR,79.77,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
588,Santa Marta,CO,80.65,few clouds,11.2408,-74.199,Hotel La Ballena Azul
593,Krabi,TH,89.06,broken clouds,8.0726,98.9105,Tharapark View Hotel
594,Mandera,KE,76.14,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
595,Kudahuvadhoo,MV,81.9,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
596,Dongargaon,IN,86.76,clear sky,20.9667,80.85,RAHUL SWEETS
597,Eregli,TR,75.92,clear sky,37.5133,34.0467,Hotel Fuat Bey
